entrez,Human
20848,6774
433766,84676
16535,3784
107765,27063
12986,1441
94067,84545
13194,1642
13711,2001
83679,9659
58800,54822
12402,867
12753,9575
107986,1643
11865,406
78913,26046
20867,10963
240057,8831
216963,28964
17868,4607
69597,10939
17755,4131
11931,481
14056,2146
68479,84844
17125,4086
17129,4090
17859,4601
20466,25942
20467,23309
93762,8467
22333,7416
20532,6519
19820,51132
50796,1761
19247,5781
14102,355
22196,7329
13163,1616
15259,10114
14082,8772
14084,11124
22350,7430
12370,841
18854,5371
26365,634
15900,3394
78688,8996
19200,9051
240660,159371
107766,23498
26380,2103
67710,5436
208922,22849
73689,282991
56642,26287
15903,3399
11652,208
66878,8780
20185,9611
12868,1351
11704,265
11625,197
13801,10117
12369,840
14939,3002
67949,84365
19943,6158
98415,64710
20084,6222
11545,142
21888,7091
18505,5077
18986,5451
16842,51176
20473,6496
20476,4990
18423,5013
17095,4066
16825,8861
71765,116138
52028,582
56297,84100
67378,583
102774,585
213081,57728
16847,3953
244667,27185
20377,6422
20890,7478
15204,8924
105689,23077
12929,1399
208650,868
13131,1600
16331,3635
11350,25
18477,5052
18708,5295
22637,7535
80987,51517
15510,3329
107746,2889
12927,9564
18706,5290
12519,941
60533,29126
76308,81876
19324,5861
19039,3959
214931,146330
71978,5520
15450,3990
11820,351
14376,23193
52538,10449
14828,3309
69816,51237
22027,7184
12475,929
14745,1902
16409,3684
170744,51311
360013,399687
81897,54106
170743,51284
12313,801
12314,805
12315,805
50762,26270
56438,9978
59083,26998
15239,9146
16195,3572
56324,10254
67300,1213
20614,6616
22116,60385
22115,23617
56424,10273
110616,4287
26405,10746
110784,4306
16202,3611
22034,7189
12282,10525
53421,29927
12568,1020
53859,9020
170574,121340
217379,165324
70369,9529
11651,207
66725,120892
15516,3326
51792,5518
22031,7187
58234,85358
16150,3551
20112,6196
13144,1613
57751,64320
56631,51127
55983,23024
70757,201562
246709,6003
19367,5883
12043,596
237877,79915
14182,2260
239731,85376
12741,7122
27375,27134
12583,1036
21873,9414
12737,9076
54420,9073
99526,54532
12740,1364
12738,9075
56492,51208
12739,1365
75785,54800
16551,3832
13429,1759
12914,1387
20405,6455
14109,2197
18709,5296
16796,3927
210126,4026
23938,5607
16522,3763
26426,10101
100502766,3833
19043,5495
16526,3776
11554,153
14799,2890
99470,260425
11555,154
13866,2064
238871,5144
18747,5566
18844,5361
214084,6571
13162,6531
20974,9143
72832,55118
240174,63892
18570,10016
17342,4286
20665,6663
226123,118812
66673,22986
65113,80762
19211,5728
16396,83737
83814,23327
17999,4734
107321,9404
14083,5747
17096,4067
19260,26191
19248,5782
14804,2895
78920,1743
18597,5160
94280,81855
18667,5241
16601,687
63856,129685
12333,823
12322,815
19259,84867
224997,9229
544963,10788
16452,3717
16162,3595
13649,1956
57914,64109
17480,4352
19246,5770
15979,3459
18763,5310
22612,7525
72828,84959
13609,1901
20779,6714
12703,8651
12389,857
18534,5105
12977,1435
12576,1027
14127,2207
15980,3460
20399,25970
20416,6464
20851,6777
13857,2057
56468,9655
16590,3815
12983,1439
19116,5618
16367,3667
20977,6855
16451,3716
14600,2690
58523,55250
20850,6776
15170,5777
15205,3280
23921,10603
19264,5788
20844,8027
83490,118788
17973,4690
16443,6453
117149,114609
17874,4615
67804,6643
22436,7498
12231,696
12606,1050
12607,10153
24069,51684
14800,2891
67979,84896
54130,10121
21413,6925
16476,3725
50913,10215
17927,4654
56784,253959
17172,429
17536,4212
18676,5253
20019,25885
21340,9014
19720,5987
12189,672
12265,4261
14581,2672
14605,1831
15569,1993
15901,3397
16151,8517
79362,79365
11924,63973
15902,3398
15111,9464
21406,6938
114712,222894
16909,4005
320713,114803
15461,3265
22411,7481
18764,5311
15110,9421
19885,6097
17354,8028
12398,863
240025,168002
20168,10313
226049,10655
15108,3028
68693,221092
56436,11047
67089,5706
26440,5682
19170,5689
22033,7188
30940,29761
53412,5507
68606,9647
74107,55165
83560,56155
212670,117155
76856,347732
329954,378807
225865,117144
242083,151742
74196,55622
66419,65003
13860,2059
11308,10006
22222,197131
18803,5335
19713,5979
230787,9473
210757,387357
12335,825
22138,7273
110119,4351
17975,4691
66083,79918
21957,7140
75991,57606
241431,129446
217869,1983
109711,87
16682,3851
12874,1362
13346,1674
55944,8664
21824,7056
235380,23312
104082,23335
66583,51013
234311,55601
16348,27130
14030,2130
21652,5252
225160,9984
11863,405
20465,6493
18663,5232
12229,695
208266,84444
64144,4298
16998,4054
21803,7040
19411,5916
243743,91584
106025,81858
381122,92291
378435,389692
213464,5929
23808,9070
55982,22976
66310,84661
83771,83756
225362,51308
107951,1025
264064,1024
94112,51586
56473,9415
19348,10112
18120,740
26413,5594
13026,5130
17060,29760
20846,6772
19303,5829
101568,51231
13537,1844
12334,824
16419,3693
16706,8844
13043,2017
26395,5604
18412,8878
26417,5595
18176,4893
217378,51277
66505,10771
110521,3096
17347,2872
56613,8986
381644,9662
17346,8569
230872,9696
11909,1386
12952,1407
18627,8864
12953,1408
13643,1949
11836,369
19279,5801
67603,1848
107094,23223
240028,4012
56041,8615
18037,4794
68943,65018
57320,11315
19698,5971
19697,5970
12234,8945
19696,5966
224020,5297
104718,145567
668212,22979
13164,1618
19325,10890
320473,54497
20181,6256
67544,84498
225523,153241
18080,51199
216274,80184
320165,6867
382090,22832
242202,8654
17762,4137
11783,317
245000,545
19338,83452
18538,5111
64930,7248
15511,3304
12445,896
11920,472
12427,8900
19645,5925
433759,3065
216150,997
13665,1965
110854,5524
245578,27328
68815,84280
54216,5099
66989,222658
211712,5101
12048,598
76487,648791
75599,5097
58200,5502
70296,54662
99377,57167
20674,6657
320790,55636
20689,27164
17246,4193
75826,59343
66905,10226
15481,3312
53331,8417
16783,3916
53612,10490
20955,6845
234695,146206
19331,401409
271457,5868
380916,23143
17126,4087
17127,4088
17128,4089
17131,4092
224907,56931
56350,403
216618,112942
18582,5147
71242,202051
57441,51053
229906,2959
22658,7703
54383,1912
114229,84634
67399,9260
107221,338557
216869,409
26559,30811
14218,9644
22223,7345
16784,3920
18569,27250
13681,1973
11628,57379
13680,55308
13690,1982
74117,10096
11459,58
225896,51035
23802,267
59007,55768
225027,6432
101214,29896
110809,6426
14714,2796
81601,10524
239985,57492
20238,6310
13433,1786
14011,2120
93759,23411
20133,6240
15185,10013
15376,3170
22421,7476
12767,7852
11806,335
16011,3488
22139,7276
66233,55929
245596,139324
21849,10155
70088,64769
21761,10933
21376,84897
56456,86
21427,6944
103537,54799
81898,23451
71514,6421
11465,71
64050,8089
223697,25777
269254,23064
22142,7846
20742,6711
13831,80314
73247,55257
98758,3185
106504,11329
56397,9643
100683,8295
75560,57634
227867,26122
52348,137492
78798,27436
16905,4000
22173,7299
19376,83871
19344,5869
19345,5878
11765,164
12675,1147
216238,8411
78287,64145
15165,348980
72515,23160
15375,3169
19662,5950
14167,2257
19364,5892
56515,51444
20190,6261
224671,114781
11516,116
20807,6722
207165,2186
13709,1997
20788,6721
20475,147912
214384,93649
74318,84525
16924,84708
21770,5528
12298,785
18211,4914
19052,5515
19765,10928
29864,26994
19707,85021
14680,2774
237422,55188
17286,4223
17764,4520
18022,4778
56736,9604
75735,53354
19401,5914
218693,10605
13669,8661
208643,1981
75705,1975
27979,8662
57746,55124
14465,2627
12151,648
18088,4821
13796,2016
19013,5465
16658,9935
58180,23119
16790,290
74322,30827
20496,6558
108737,9943
53416,27347
26416,1432
109620,1832
16549,8570
15967,3441
15977,3456
232286,7110
14158,2241
11798,331
75788,57154
16511,3757
18815,5340
16136,3543
12557,1015
22362,7441
20655,6647
69191,64714
74018,57679
13058,1536
19353,5879
22761,161882
225182,5932
22195,7332
66894,11060
108086,54476
18572,22984
100037258,5611
224129,111
210044,108
238161,9472
75717,8065
67474,9342
20907,6804
22318,6844
22153,10382
11964,523
110135,2244
14161,2243
67790,116442
77794,9719
74764,89953
233066,163183
67116,79004
664805,652991
72931,375757
67788,119392
12567,1019
12579,1030
268930,9088
70999,79829
22030,7186
30957,23162
21826,7058
21825,7057
12049,10017
19725,5990
15223,2302
22221,7342
26939,55718
64383,22933
75291,79842
27360,120
230810,7780
104215,23433
50930,8740
17000,4055
18753,5580
240514,11007
15436,3233
69920,5438
18516,5090
66813,79370
18173,6556
12458,1235
18797,5331
239839,64770
228136,25921
20609,6755
21647,6991
13001,1460
22343,55327
319924,320
270192,51560
12361,8573
327814,8499
11634,326
17685,4436
63873,59341
106639,400673
56399,10270
60344,55137
20111,6195
109801,2739
11876,9048
13033,1509
12507,921
12988,1445
107975,55690
18034,4791
80859,64332
223922,11016
16198,3578
12417,11335
11910,467
16172,23765
27401,6502
12902,1380
13548,1859
54720,1827
330662,1793
56722,9516
20852,6778
18091,1482
21380,6899
83797,6602
15430,3236
50498,10148
16159,3592
50931,9466
328572,2033
18018,4772
14461,2624
16160,3593
15978,3458
93679,81603
16801,9138
19826,10921
15432,3238
71883,27235
74006,10059
30923,2301
320127,9162
240168,25780
380718,54903
13717,2006
16948,4015
353156,51162
110157,5894
69716,9319
66591,9587
80905,5429
56210,51455
20641,6632
240641,9585
12894,1374
53382,9352
17984,4692
13819,2034
26381,2104
23871,2113
12326,814
21950,8744
57344,57412
107392,25855
103988,2645
225028,8491
65962,9351
18596,5159
497652,65057
56376,10611
11475,59
57753,64318
225913,26007
246694,11234
20170,79803
22177,7305
18188,4902
66616,51429
16337,3643
16001,3480
100038882,9636
13629,1938
22201,7317
269523,7415
104112,47
13806,2023
16828,3939
17448,4191
15519,3320
17886,4627
56045,25939
74153,7318
11749,309
22225,8078
20322,6652
11674,226
211548,23420
21351,6888
17436,4199
18655,5230
216558,7360
18746,5315
56791,9246
21812,7046
93840,57216
21414,6932
59036,51339
18752,5582
13542,1855
629378,147906
13544,1857
104318,1453
18163,1501
229658,81839
56637,2932
13543,1856
12388,1500
106766,55620
15209,8820
67222,153443
17210,4170
58801,5366
53895,8192
11682,238
232679,51530
226154,84445
207259,201501
71458,54880
20787,6720
26419,5599
69312,286187
16573,3799
76905,116844
11482,94
13805,2022
110794,1053
20375,6688
17476,219972
14154,55527
19201,9050
19253,26469
106572,11031
19334,57403
319642,51209
66830,112939
22702,132625
230908,23435
58198,6299
216156,57418
13496,1820
545156,8997
245684,22866
76884,26999
26556,9456
50884,10787
20743,6712
67393,51523
11551,150
15562,3360
12488,23607
19341,5867
14254,2321
104027,11346
53414,705
56392,8036
16149,972
12505,960
18126,4843
26407,4216
26398,6416
22032,9618
59028,10171
224111,26043
12419,23468
15361,3159
66403,25842
66929,55723
84505,9869
99982,23028
15182,3066
19718,5982
69719,790
208768,163859
245688,5931
218811,9632
52036,55291
20334,10484
73830,27335
21372,6907
52563,8697
75062,10946
72151,5985
217127,11143
22270,7380
66696,169166
16416,3690
16414,3689
108101,83706
109331,56254
13871,2068
17827,4580
68151,79971
22415,7473
214137,9411
69903,54922
14126,2206
15183,8841
12482,931
14827,2923
11938,488
16362,3659
231123,79441
211550,92610
66384,6728
67903,10755
269608,57449
75723,154810
56332,51421
11848,387
27494,154796
12695,10207
17475,8777
17913,4641
20514,6510
270190,2047
21844,7074
13641,1947
69257,1998
108699,1123
16468,3720
52615,23512
14055,2145
17765,22823
14463,2626
15260,7290
19646,5928
66854,23087
232533,23012
218333,23379
338467,23515
383491,63978
72567,9774
230753,9967
17869,4609
77683,79813
110147,10919
16600,9314
75033,101928601
239083,57820
73673,283677
230484,7398
104394,1874
50914,116448
18030,4783
114664,51170
22601,10413
76787,8541
18189,9378
244723,93145
104776,4329
54709,8668
74370,57521
20908,6809
22319,9341
20619,8773
20911,6813
66945,6389
20652,6646
27078,27077
18674,5250
212712,23314
11911,468
20481,6497
23942,9219
16949,4016
72615,124401
13841,2045
76899,2800
19650,5933
19651,5934
67203,54820
18472,5048
12416,84733
15201,3070
13436,1789
13435,1788
53885,4867
213539,9532
70350,10409
68581,10972
18016,4771
19091,5592
17931,4659
68678,219537
12804,1271
12803,1270
26373,1186
14628,28962
211389,6821
21934,8792
72269,978
17132,4094
18508,5080
60505,59067
11622,196
53314,10538
16189,3565
22218,7341
18024,4780
16153,3586
20682,6662
18810,5339
269682,2802
320080,9880
66922,22800
30955,5294
223864,10411
12916,1390
12023,8538
21885,7088
56312,26471
14281,2353
13653,1958
74343,200186
19094,5600
12915,1388
16971,4035
260297,80863
71870,25790
270151,79671
52440,8887
268749,55072
24105,10616
21939,958
72119,22974
16661,3858
19305,5830
228071,91404
80985,54765
76932,23647
229534,57326
19280,5802
53817,7919
54123,3665
434341,84166
22163,7293
26406,4215
18035,4792
18131,4854
20382,6427
13196,50807
11426,23499
15469,3276
66511,26097
27374,10419
12575,1026
19047,5501
12566,1017
12428,890
12447,898
12443,595
12448,9134
19290,5813
12444,894
51813,892
64898,9663
20525,6513
17920,4646
21752,7015
52335,342371
19249,5783
26992,29117
22051,7205
30794,8572
107515,55366
18140,29128
17434,4338
75273,27043
15370,3164
319845,27241
229905,56267
20957,6847
71846,256126
74075,93426
20220,10284
26554,8452
18479,5058
11603,375790
16423,961
19354,5880
26934,29127
12540,998
18198,4593
26409,6885
66724,257397
54445,81622
142980,7098
104709,146850
320207,23533
27140,30012
211586,7029
13555,1869
13559,1875
23885,64395
242705,1870
57373,56672
100972,9364
52850,129049
17954,4674
56484,2309
21936,8784
18754,5581
27273,5166
20528,6517
22229,7352
16171,3605
209590,149233
14633,2736
14632,2735
54427,29947
114642,676
230796,23038
104416,8314
94217,53353
14768,10314
320472,22843
56177,10439
16514,3767
20928,10060
19822,6047
195333,2928
73456,284359
26362,558
11352,27
100608,79050
244373,11160
55980,3612
16565,23046
70349,1315
15568,1994
213827,372
68350,79594
14536,2649
18643,5216
52906,54806
21869,7080
30051,25803
18510,7849
13797,2018
13864,2063
14843,170825
15405,3205
15421,3228
26940,51295
12667,8646
101206,10474
71830,204474
12745,1047
73316,125972
22337,7421
17977,8648
21848,8805
13081,1591
12842,1277
57259,10766
22385,9031
20182,6257
74053,23426
58226,8912
16818,3932
54607,9306
14255,2322
67296,122809
14367,7855
14803,2894
76846,6203
80913,23369
239528,27161
170676,23089
21679,7004
170828,51442
232334,9686
56299,63943
22070,7178
50927,4678
23950,10049
18021,4775
208727,9759
211064,8846
109689,408
70238,165918
240087,9656
18786,9373
15184,10014
12227,7832
18983,29883
78244,134218
12053,604
18128,4851
18129,4853
19664,3516
219158,57805
108098,9412
18013,4761
71772,196463
215335,206358
13030,1508
56017,29988
140887,222484
78830,8604
11702,262
77305,80335
99375,8451
12848,9318
50868,9817
19231,5757
26965,8454
231672,26259
66515,9820
207215,51725
230654,10489
67615,54926
66105,7323
22193,10477
216080,7321
22213,7327
30050,26190
415115,140825
12022,56033
13390,1745
20965,6854
13852,2054
18548,5122
18550,5045
192292,29959
216233,8835
18002,4738
192157,30837
12700,1154
56787,56676
264134,79989
12020,579
97387,29888
217684,9766
192113,479
59035,10498
13180,5092
72562,84105
12021,580
12192,677
243983,54503
114606,79816
114774,5074
76893,29956
21405,6927
71991,1161
21410,6928
58185,91543
20442,6482
83433,54209
76448,170954
22210,7320
58186,56852
73274,65056
21887,7090
18718,5305
12286,773
12287,774
12297,784
70430,6905
71819,9493
117197,55330
18457,26258
232946,388552
13010,1471
11464,70
72047,11325
103963,6184
11796,330
19944,6159
21973,7153
11984,527
54624,54623
19063,5538
13207,1655
107260,55611
12825,1281
12831,1289
14106,8928
50791,9863
17395,4318
16184,3559
16478,3727
29820,55504
11539,134
65112,56937
17261,4209
320202,7044
12715,1158
13590,10637
21667,6997
59079,55914
14308,2488
15251,3091
17684,10370
66214,28984
12832,1290
106582,11270
110606,2342
16497,7881
93686,23543
75985,27314
68267,79751
16997,4053
23876,10516
94245,84062
106039,26088
14619,2706
14623,10804
14620,2707
14618,2705
74105,23062
226744,163882
329178,285175
338370,259232
241035,5314
15467,27102
19122,5621
13602,8404
217303,11314
13448,1796
13449,9046
58194,30011
16822,3937
27218,6504
14130,2213
380732,284021
78514,79658
30054,56163
268373,5478
72930,5521
66513,10454
105844,29775
17295,4233
224116,200958
14388,2549
15234,3082
52710,79581
18600,11240
231872,7965
51886,8880
20586,6597
93760,8289
57376,6605
18015,4763
20020,5430
23872,2114
83766,51412
22632,7528
57765,30009
216850,23135
230674,9682
193796,23030
76804,23081
73086,9252
22778,10320
12394,861
14048,2138
20471,6495
11518,118
51810,3192
20588,6599
20671,64321
11657,213
72584,8450
93871,54014
79221,9734
14460,2623
17928,4656
66993,6604
20587,6598
268996,6760
66923,55193
19708,5977
12912,1385
68094,6601
328365,57178
13386,8788
231600,55743
22290,7404
17192,53615
22289,7403
100494,90637
19185,5710
17463,5713
13982,2099
13134,1602
14050,2140
20512,6507
28019,51147
218772,5915
19084,5573
19085,5575
17122,10608
20278,6340
52428,85415
56486,11337
12317,811
18645,5217
19878,9475
103733,7283
22352,7431
20397,8879
57890,132014
234836,27189
75050,55582
66722,79582
269209,27148
381280,55355
18511,5083
15394,3198
107587,116039
24108,10537
54137,84519
12301,27101
20193,6271
20198,6275
677296,343413
226548,51107
208117,83464
232975,478
18537,5110
56406,23054
109232,51097
15227,2294
20135,6241
14787,114822
76378,54763
67155,6595
17257,4204
23957,8431
101706,4926
13489,1813
17974,8440
54673,51100
20404,6456
20408,6457
218038,273
20964,6853
12217,8927
23969,29993
11772,161
16572,3798
30948,274
16563,3796
59310,93408
20740,6709
65970,51474
22157,7287
212541,6010
22158,7289
674895,152110
20410,10174
19727,8625
109880,673
72399,8315
20393,6446
22628,7532
20277,6338
56274,6788
14783,2887
76484,85442
215449,5908
70315,55869
26379,2101
20183,6258
18415,22824
68585,57142
71586,64135
66597,10206
22642,7709
17268,4211
17537,56917
20022,5439
76900,170463
80720,80714
81703,122953
14025,53335
21907,7101
78903,56897
110651,6197
14173,2247
13176,1630
17909,4651
53617,3886
12677,338917
103573,7514
110310,3855
235402,84894
53867,50509
110355,156
16665,3866
16170,3603
16500,3745
16508,3751
16559,57576
80906,30819
246133,9992
68089,10093
18576,5140
229584,23126
74108,5073
53791,7100
67972,490
110750,1434
217588,51562
16440,3710
16854,3958
72565,55075
54151,50626
17979,8202
56469,8554
171285,84868
16165,3598
21960,7143
16412,3688
65969,8029
22329,7412
240283,1657
93836,54778
12006,8313
66313,64750
14064,2151
26874,225
19299,5825
19346,5870
329908,23358
11767,8907
16004,3482
20979,6857
67602,25977
18997,5458
19009,5463
27217,83881
104360,64843
16392,3670
13392,1746
18996,5457
16870,9355
109333,5586
12502,917
83431,81565
228359,392
18039,4747
380684,4744
545486,81027
18578,5142
353047,9842
50907,10113
66397,51128
244058,56963
13487,1811
26941,9368
171429,65010
12638,1080
83558,56159
320558,10388
75974,139818
68957,79957
241764,26013
66637,116461
241612,159963
30841,84678
70122,4300
228536,22893
18536,5108
76816,10806
277939,26005
99167,117178
227624,55684
73162,23252
21938,7133
14824,2896
235610,84126
235559,11073
27409,64240
382864,8292
56338,10628
56323,25822
230073,23586
217069,7706
19164,5663
19165,5664
18519,8850
57750,55759
66085,8665
21926,7124
13813,8320
18646,5551
14357,1840
70417,84466
50754,55294
16449,182
13714,2005
214854,93082
20750,6696
57874,51495
319430,27202
20899,346673
67832,55299
56086,6418
66861,54431
11835,367
13418,64215
14231,51661
59287,23385
19329,64284
67838,51726
14840,83445
56522,56903
72074,257629
380993,57623
84585,63891
19656,494115
243382,152926
76775,84068
66143,9521
17777,4547
74338,340024
230979,8764
16363,3660
208154,151888
18717,23396
14725,4036
20353,54910
20352,10509
56470,10287
18212,4915
16561,23095
72555,729993
21814,7049
19291,5814
67628,10541
93960,85407
72293,85409
52377,57333
387609,22882
228545,57617
100226,23673
16728,3897
53869,8766
20847,6773
18196,27065
69121,25884
12160,653
22169,129607
19941,6154
20660,6653
226747,25909
277463,57720
70789,8942
69232,54870
76789,440145
69923,55750
12368,839
12954,1409
12955,1410
12833,1291
71902,55832
12144,641
12649,1111
13822,2037
56524,51678
20617,6622
56491,9217
71732,55823
80743,64601
12289,776
12652,1113
18195,4905
20980,127833
72296,23623
20333,9554
66172,400569
80509,112950
22209,7319
17258,4205
97064,25937
15398,3209
15433,3239
24136,9839
74203,56478
224824,5190
223642,23144
234366,54815
53890,9733
56361,80324
13844,2048
442801,22899
12013,571
17135,7975
17134,4097
15366,3161
22083,9646
76338,84932
19335,51715
83557,79727
18458,26986
72587,255967
22025,7181
268903,8204
17978,10499
19883,6095
12648,1105
18609,3651
18514,5087
15408,10481
15416,3218
15412,3214
15399,3199
15402,3202
15395,3206
15422,3229
13619,1911
241915,80012
20877,9212
12400,865
19763,6015
30951,57332
64209,9709
71648,10133
83925,7227
21411,6942
235180,9638
80901,10663
66645,55269
72140,84902
20218,10657
218397,5921
170771,202559
170791,9584
68153,2961
231130,79155
19342,53916
73845,338699
229898,115362
20296,6347
16819,3934
65099,134728
193740,3303
20821,6737
16168,3600
18507,5079
106869,25816
11479,91
269275,130399
11481,93
14561,10220
27220,9607
66052,6391
67680,6390
78771,79772
12590,1044
12592,1046
171382,79054
193003,644139
14235,2305
19188,5721
13876,2078
16691,3856
105193,378884
13853,7957
19046,5500
29810,9531
67384,9530
20589,3508
17751,4504
14815,2908
12125,10018
67068,83658
56480,29110
27215,64343
14567,2664
56489,9641
103213,10758
18750,5578
213019,64236
53417,64344
57785,29098
20271,6331
68379,25792
30930,9559
69091,112936
65114,55737
20661,6272
56433,51699
22042,7037
13488,1812
21784,7031
60345,83714
233489,8301
66383,23479
218503,115548
16427,3700
69697,57662
67886,23271
11514,114
67694,80173
72662,22894
11370,37
78658,23310
15483,3290
13849,2052
14081,2180
66815,55013
215999,90550
21815,7050
18193,64324
21834,7068
21833,7067
75613,81857
13017,1488
228790,171023
59025,9097
15930,3620
53311,4608
215280,7456
12512,967
15208,388585
234219,391723
56198,26508
15482,3305
18187,8828
20348,10512
12477,1493
94230,29894
56218,23598
107589,4638
107995,991
240255,64848
268491,284071
17995,4723
66148,29103
67661,26160
106633,9742
66118,84324
57264,56729
268752,115825
56458,2308
18762,5590
18759,5584
26408,4217
56351,10728
66578,54069
12310,796
21929,7128
57783,10318
171095,84818
257630,112744
22691,54993
109889,7593
107566,23568
11739,291
213236,373863
16490,3737
18391,10280
20873,10733
70799,55125
99100,22995
16653,3845
64113,64112
98558,84944
13206,54514
100121,23424
83561,56165
12393,860
15162,3055
12928,1398
56513,50855
27373,1454
80288,283149
57436,23710
140577,22881
18230,64359
18770,5313
20345,6404
20612,6614
15159,3052
20510,6505
14595,2683
70093,55585
21974,7155
18626,5187
16917,4010
407831,79652
11842,377
16398,3673
12805,1272
19283,5803
268822,203054
12426,887
19167,5684
68680,161247
12111,633
67706,374395
57913,55367
23790,23603
23983,5093
16193,3569
12611,1054
13400,1760
140475,7809
12733,1187
16156,3589
170772,113263
19213,256297
22241,8408
71132,26256
230784,83667
51897,9776
12421,9821
53600,100287932
77040,55054
53378,6386
72018,139341
67241,79677
67872,54780
16323,3624
14313,10468
14836,145258
232232,79885
21389,6911
71835,55915
11435,1134
12330,821
20853,6780
67830,11079
26424,2494
20186,9971
12525,925
19265,5790
12504,920
14533,2647
21429,7343
71745,8453
112407,112399
71999,26263
18823,5354
105377,84250
72475,23648
24001,26230
16897,3996
12040,594
16880,3977
13019,1489
14199,2273
21894,7094
54519,54518
21687,7010
16993,4048
102502,5357
229277,161003
104111,109
107656,3857
223650,83481
16404,3679
15565,3362
13854,29924
13660,10938
259300,30846
108909,64853
16666,3868
71609,8717
231470,80144
329872,158326
242022,341640
107650,5298
78656,10902
58805,51085
55948,2810
16667,3872
67160,1937
55949,1933
12824,1280
66290,9550
66237,534
13838,2043
233902,54620
17082,9173
17876,50804
74362,200162
448987,23194
11979,540
13821,2036
17965,4681
13008,1466
26754,10987
14248,2314
12323,816
71268,9209
16978,9208
636931,131405
192119,23405
57749,9271
20391,6442
22288,7402
11443,1140
268780,133584
15530,3339
24051,6443
24052,6444
20563,9353
60365,9939
380669,389421
73341,9459
15488,3295
21898,7099
266632,51135
11596,177
18707,5293
16177,3554
106759,148022
24088,7097
14088,2176
14870,2950
11758,9588
329064,9033
244646,342372
78284,148327
12913,10488
13593,253738
13591,1879
228598,57593
16428,3702
27418,4289
14394,2554
19017,10891
109700,3672
20361,8482
114249,255743
19186,5720
16835,3949
228357,4038
19099,9479
56705,10048
100017,26119
66641,80143
69731,79760
23849,1316
66682,126003
66226,6399
107684,7464
105083,53918
56422,10767
56055,54676
16499,9196
381022,8085
15976,3455
55942,29950
58172,9792
170742,29946
67286,64792
272322,56938
106628,9322
14390,2551
232791,4849
16332,3636
74769,5291
27354,4683
20439,6478
20868,6793
94246,51742
14201,2275
20670,6665
55988,29934
12585,1039
14718,2805
100702,163351
50523,26524
64010,60485
58231,6789
20666,6664
54120,54810
104836,79872
270086,55239
207742,54894
12224,688
14809,2901
12934,1808
218699,54899
64242,58157
17761,9053
18826,3936
71994,1266
20969,6382
106021,10210
12765,3579
116870,9112
14013,2122
107932,1108
21674,6736
11787,323
21417,6935
13016,1487
16183,3558
360216,54764
22215,7337
140492,3781
50997,4355
68507,8497
16591,9365
17967,4684
14183,2263
14175,2249
22283,7399
18821,5350
11747,308
